Flights Data: Example 
For each airline, u = 1,..., 16:
Y_1 = Flight time between airports (Airtime) - s_1 = 12 histogram sub-intervals,
Y_2 = Time to taxi in to the gate after landing (Taxi-In-Time) - s_2 = 12 histogram sub-intervals,
Y_3 = Time arrived after scheduled arrival time (Arrival-Delay-Time) - s_3 = 11 histogram sub-intervals,
Y_4 = Time to taxi out from the gate until liftoff (Taxi-Out-Time) - s_4 = 10 histogram sub-intervals,
Y_5 = Delay time after scheduled departure time (Departure-Delay-Time) - s_5 = 11 histogram sub-intervals.

u\Y_1  [0,70) [70,110) [110,150) [150,190) [190,230) [230,270) [270,310) [310,350) [350,390) [390,430) [430,470) [470,540]   
 1     .00017  .10568   .33511    .20430    .12823    .045267   .07831    .07556    .02685    .00034    .00000    .00000   
 2     .24826  .54412   .20365    .00397    .00000    .00000    .00000    .00000    .00000    .00000    .00000    .00000   
 3     .77412  .22451   .00137    .00000    .00000    .00000    .00000    .00000    .00000    .00000    .00000    .00000   
 4     .16999  .00805   .42775    .20123    .01955    .02606    .00556    .00556    .00057    .01169    .09774    .02626    
 5     .13464  .10799   .01823    .37728    .35063    .01122    .00000    .00000    .00000    .00000    .00000    .00000    
 6     .70026  .22415   .07264    .00229    .00065    .00000    .00000    .00000    .00000    .00000    .00000    .00000    
 7     .26064  .21519   .34916    .06427    .02798    .01848    .03425    .02272    .00729    .00000    .00000    .00000     
 8     .17867  .41499   .40634    .00000    .00000    .00000    .00000    .00000    .00000    .00000    .00000    .00000    
 9     .28907  .41882   .28452    .00683    .00076    .00000    .00000    .00000    .00000    .00000    .00000    .00000    
10     .00000  .00000   .00000    .00000    .03811    .30793    .34299    .21494    .08384    .01220    .00000    .00000    
11     .51329  .35570   .11021    .01651    .00386    .00000    .00021    .00000    .00000    .00000    .00000    .00000    
12     .39219  .31956   .19201    .09442    .00182    .00000    .00000    .00000    .00000    .00000    .00000    .00000    
