
                 table 6.8 Hematocrit and Hemoglobin

	Variables:
	  Y = Hematocrit, histogram-valued ([ya1, yb1),yp1; [ya2, yb2], yp2)
	  X = Hemoglobin, histogram-valued ([xa1, xb1),xp1; [xa2, xb2], xp2)

	input u ya1 yb1 yp1 ya2 yb2 yp2 xa1 xb1 xp1 xa2 xb2 xp2

	            ----------------------------
              

  1 33.296 37.524 .6 37.524 39.610 .4  11.545 12.195 .4 12.195 12.806 .6  
  2 36.694 39.114 .3 39.114 45.123 .7  12.075 13.328 .5 13.328 14.177 .5 
  3 36.699 42.645 .5 42.645 48.685 .5  12.384 14.201 .3 14.201 16.169 .7 
  4 36.386 40.879 .4 40.879 47.412 .6  12.384 14.264 .5 14.264 15.298 .5 
  5 39.190 50.866 1  50.866 51.000 0   13.581 14.289 .3 14.289 16.242 .7 
  6 39.703 44.326 .4 44.326 47.246 .6  13.819 14.500 .4 14.500 15.203 .6 
  7 41.560 46.659 .6 46.659 48.814 .4  14.341 14.812 .5 14.812 15.554 .5 
  8 38.404 42.935 .7 42.935 45.228 .3  13.274 14.000 .6 14.000 14.601 .4 
  9 28.831 35.550 .5 35.550 41.980 .5   9.922 11.989 .4 11.989 13.801 .6 
 10 44.481 52.536 1  52.536 53.000  0  15.374 15.780 .3 15.780 16.755 .7   
